plant	abs_stom	epi_count	il	row	tray	col
A40	13	29.5	IL_4.1.1	J	A	D
C22	14	24	IL_9.3.1	B	C	A
O35	14.5	22	IL_7.5.5	E	L	E
Q36	15	25.5	IL_10.3	F	N	C
H4	15.5	28.5	IL_5.1	D	F	D
L21	15.5	34	IL_6.1	A	J	B
I38	16	31.5	IL_10.3	H	H	A
G39	16.5	32	IL_6.1	I	F	C
L19	16.5	30.5	IL_9.1	I	J	A
K21	17	35.5	IL_4.3.2	A	I	C
K28	17	34.5	IL_8.3	H	I	C
B27	17	27.5	IL_9.1	G	B	B
T19	17.5	34.5	IL_4.3.2	I	P	C
N7	18	26	IL_11.3	G	K	C
L38	18	33.5	IL_2.1	H	J	C
E34	18	33	IL_2.5	D	D	E
Q23	18	28.5	IL_3.1	C	N	B
H18	18	23.5	IL_7.2	H	F	E
E16	18	37.5	IL_8.3	F	D	C
H29	18	31.5	IL_8.3.1	I	G	A
Q26	18	30.5	IL_8.3.1	F	N	B
T30	18	30.5	IL_9.3	J	P	D
K27	18.5	32	IL_11.2	G	I	C
B8	18.5	29.5	IL_5.2	H	A	E
L7	18.5	36	IL_6.4	G	I	E
J18	18.5	33.5	IL_7.1	H	H	C
L5	19	35.5	IL_3.2	E	I	E
G40	19	31	IL_6.2	J	F	C
Q15	19	35.5	IL_8.1.1	E	N	A
K8	19	30	IL_9.3	H	I	A
N17	19.5	28	IL_10.3	G	K	D
B13	19.5	37	IL_12.2	C	B	A
E15	19.5	33.5	IL_6.1	E	D	C
L28	19.5	41.5	IL_8.2	H	J	B
Q38	19.5	32.5	IL_8.3	H	N	C
E6	19.5	28.5	IL_9.3	F	D	B
Q6	19.5	36.5	IL_9.3.1	F	M	E
R9	19.5	37	IL_9.3.2	I	N	D
Q20	20	34	IL_1.4	J	N	A
N15	20	40	IL_12.4	E	K	D
L33	20	30.5	IL_5.3	C	J	C
E20	20	33.5	IL_5.5	J	D	C
M9	20	35.5	IL_6.4	I	J	D
L27	20	30.5	IL_7.4.1	G	J	B
O36	20	33.5	IL_9.1	F	L	E
J36	20	31.5	IL_9.2.6	F	H	E
A38	20.5	36	IL_1.1	H	A	D
I37	20.5	29	IL_10.2.2	G	H	A
D36	20.5	29.5	IL_11.4	F	D	A
N26	20.5	38.5	IL_2.4	F	K	E
B31	20.5	30	IL_2.5	A	B	C
M15	20.5	29	IL_2.5	E	J	E
S5	20.5	38	IL_4.1.1	E	O	C
H34	20.5	38.5	IL_5.3	D	G	B
F17	20.5	38	IL_7.1	G	E	B
E13	20.5	33	IL_9.3.1	C	D	C
H1	21	35.5	IL_1.4.18	A	F	D
L9	21	27	IL_10.3	I	I	E
A22	21	40	IL_11.1	B	A	C
E28	21	44.5	IL_2.3	H	D	D
P19	21	39.5	IL_3.4	I	M	B
C40	21	30.5	IL_7.1	J	C	B
L36	21	36	IL_7.1	F	J	C
Q31	21	27.5	IL_7.1	A	N	C
T23	21	36	IL_9.1	C	P	D
M39	21	33.5	IL_9.3.1	I	K	B
F19	21.5	32.5	IL_10.1	I	E	B
K20	21.5	31.5	IL_10.1.1	J	I	B
T28	21.5	32.5	IL_10.3	H	P	D
F16	21.5	32.5	IL_11.4.1	F	E	B
K3	21.5	41.5	IL_11.4.1	C	I	A
N3	21.5	38	IL_11.4.1	C	K	C
R2	21.5	30.5	IL_12.1	B	N	D
K26	21.5	32	IL_12.1.1	F	I	C
Q18	21.5	37	IL_12.4.1	H	N	A
S32	21.5	27	IL_2.6	B	P	A
S39	21.5	39	IL_3.2	I	P	A
G31	21.5	34	IL_4.1.1	A	F	C
L20	21.5	37.5	IL_4.4	J	J	A
Q11	21.5	29	IL_5.3	A	N	A
D35	21.5	36	IL_6.2	E	D	A
B38	21.5	43	IL_9.3	H	B	C
M18	22	33.5	IL_1.3	H	J	E
A37	22	35.5	IL_10.3	G	A	D
H35	22	32	IL_11.4	E	G	B
G16	22	31	IL_11.4.1	F	F	A
E7	22	34.5	IL_2.2	G	D	B
O22	22	37	IL_2.5	B	L	D
B19	22	36	IL_2.6	I	B	A
L37	22	33	IL_4.2	G	J	C
I23	22	37	IL_5.1	C	G	E
G21	22	42	IL_5.2	A	F	B
Q14	22	37	IL_5.4	D	N	A
M5	22	36	IL_5.5	E	J	D
T29	22	40	IL_6.3	I	P	D
C2	22	35	IL_6.4	B	B	D
Q34	22	30.5	IL_7.3	D	N	C
B2	22	29	IL_8.1.1	B	A	E
E26	22	29	IL_8.1.1	F	D	D
M26	22	43.5	IL_8.2	F	K	A
P40	22	34.5	IL_8.3	J	M	D
T5	22	28.5	IL_8.3.1	E	P	B
L12	22	30.5	IL_9.1.3	B	J	A
L6	22	37.5	IL_9.2.6	F	I	E
N25	22	35	IL_9.3	E	K	E
L18	22	38	IL_9.3.2	H	J	A
M27	22	34	cvm82	G	K	A
N22	22.5	43.5	IL_1.1	B	K	E
H8	22.5	29.5	IL_1.1.3	H	F	D
K4	22.5	27.5	IL_1.1.3	D	I	A
I14	22.5	40.5	IL_1.4	D	G	D
B11	22.5	34.5	IL_10.2.2	A	B	A
M7	22.5	36	IL_11.4	G	J	D
Q35	22.5	25.5	IL_12.4	E	N	C
R25	22.5	33	IL_2.6	E	O	A
C4	22.5	35	IL_4.3.2	D	B	D
G7	22.5	34.5	IL_4.3.2	G	E	E
E17	22.5	32	IL_5.2	G	D	C
J5	22.5	41.5	IL_6.1	E	H	B
L34	22.5	31.5	IL_7.5.5	D	J	C
A23	22.5	31.5	IL_8.2	C	A	C
C31	22.5	35.5	IL_9.3	A	C	B
M20	22.5	38.5	cvm82	J	J	E
I4	23	36	IL_10.1.1	D	G	C
E35	23	34	IL_10.3	E	D	E
F29	23	34.5	IL_11.2	I	E	C
C24	23	40.5	IL_12.2	D	C	A
S38	23	33.5	IL_2.4	H	P	A
J20	23	38.5	IL_2.6.5	J	H	C
G22	23	35	IL_3.3	B	F	B
K33	23	38	IL_3.4	C	I	D
K24	23	40.5	IL_4.1.1	D	I	C
J15	23	43	IL_4.3	E	H	C
N27	23	36.5	IL_4.3.2	G	K	E
B35	23	35.5	IL_6.1	E	B	C
A29	23	37	IL_7.1	I	A	C
L39	23	32.5	IL_7.2	I	J	C
E37	23	36	IL_8.1	G	D	E
D18	23	34	IL_8.1.1	H	C	D
M38	23	43	IL_9.1	H	K	B
J30	23	29	cvm82	J	H	D
L13	23.5	27.5	IL_1.2	C	J	A
D17	23.5	33	IL_10.3	G	C	D
K30	23.5	36	IL_12.2	J	I	C
K38	23.5	37	IL_12.3.1	H	I	D
N39	23.5	40.5	IL_2.2	I	L	A
I8	23.5	37	IL_3.2	H	G	C
N38	23.5	39.5	IL_4.1.1	H	L	A
H9	23.5	35	IL_4.4	I	F	D
Q40	23.5	38.5	IL_7.2	J	N	C
L8	23.5	31.5	IL_8.1.5	H	I	E
L40	23.5	39	IL_8.3.1	J	J	C
I9	23.5	24	IL_9.1.3	I	G	C
